AtoB,BtoA,CtoD,DtoC,CtoE,EtoC,EtoA,AtoE,semmi,AB,BC,CD,DE,EA,CE
0.26378349247944693,0.006386938962006872,0.013747813969117784,0.011795338037775022,0,0,0.018911988585619127,0.39421428604895975,1,0,0,0,0,0,0
0,0,0.013747813969117784,0.011795338037775022,0.006386938962006872,0.26378349247944693,0.025298927547626,0.6579977785284067,0,1,0,0,0,0,0
0.275578830517222,0.020134752931124655,0,0,0,0,0.03070732662339415,0.40796210001807753,0,0,1,0,0,0,0
0.26378349247944693,0.006386938962006872,0,0,0.013747813969117784,0.011795338037775022,0.018911988585619127,0.39421428604895975,0,0,0,1,0,0,0
0.26378349247944693,0.006386938962006872,0.40796210001807753,0.03070732662339415,0.018911988585619127,0.39421428604895975,0.037823977171238254,0.7884285720979195,0,0,0,0,1,0,0
0.6579977785284067,0.025298927547626,0.40796210001807753,0.03070732662339415,0,0,0,0,0,0,0,0,0,1,0
0.26378349247944693,0.006386938962006872,0.013747813969117784,0.011795338037775022,0,0,0.018911988585619127,0.39421428604895975,0,0,0,0,0,0,1
0.016715314246632425,0.07182245180773505,0.05063975300121615,0.05926380047936036,0,0,0.008203491038983936,0.3071083397547615,1,0,0,0,0,0,0
0,0,0.05063975300121615,0.05926380047936036,0.07182245180773505,0.016715314246632425,0.08002594284671899,0.3238236540013939,0,1,0,0,0,0,0
0.07597911472599278,0.1224622048089512,0,0,0,0,0.0674672915183443,0.35774809275597763,0,0,1,0,0,0,0
0.016715314246632425,0.07182245180773505,0,0,0.05063975300121615,0.05926380047936036,0.008203491038983936,0.3071083397547615,0,0,0,1,0,0,0
0.016715314246632425,0.07182245180773505,0.35774809275597763,0.0674672915183443,0.008203491038983936,0.3071083397547615,0.016406982077967872,0.614216679509523,0,0,0,0,1,0,0
0.3238236540013939,0.08002594284671899,0.35774809275597763,0.0674672915183443,0,0,0,0,0,0,0,0,0,1,0
0.016715314246632425,0.07182245180773505,0.05063975300121615,0.05926380047936036,0,0,0.008203491038983936,0.3071083397547615,0,0,0,0,0,0,1
0.48839294420288476,0.07699216842276076,0.07282711754421349,0.006853359034842963,0,0,0.0042959042185786184,0.3542512855190291,1,0,0,0,0,0,0
0,0,0.07282711754421349,0.006853359034842963,0.07699216842276076,0.48839294420288476,0.08128807264133937,0.8426442297219139,0,1,0,0,0,0,0
0.4952463032377277,0.14981928596697425,0,0,0,0,0.011149263253421582,0.42707840306324263,0,0,1,0,0,0,0
0.48839294420288476,0.07699216842276076,0,0,0.07282711754421349,0.006853359034842963,0.0042959042185786184,0.3542512855190291,0,0,0,1,0,0,0
0.48839294420288476,0.07699216842276076,0.42707840306324263,0.011149263253421582,0.0042959042185786184,0.3542512855190291,0.008591808437157237,0.7085025710380582,0,0,0,0,1,0,0
0.8426442297219139,0.08128807264133937,0.42707840306324263,0.011149263253421582,0,0,0,0,0,0,0,0,0,1,0
0.48839294420288476,0.07699216842276076,0.07282711754421349,0.006853359034842963,0,0,0.0042959042185786184,0.3542512855190291,0,0,0,0,0,0,1
0.40268313247149257,0.7636048857793711,0.14765840765401073,0.3575295086767165,0,0,0.4926854520963698,0.20120819074297513,1,0,0,0,0,0,0
0,0,0.14765840765401073,0.3575295086767165,0.7636048857793711,0.40268313247149257,1.256290337875741,0.6038913232144677,0,1,0,0,0,0,0
0.7602126411482091,0.9112632934333819,0,0,0,0,0.8502149607730863,0.34886659839698586,0,0,1,0,0,0,0
0.40268313247149257,0.7636048857793711,0,0,0.14765840765401073,0.3575295086767165,0.4926854520963698,0.20120819074297513,0,0,0,1,0,0,0
0.40268313247149257,0.7636048857793711,0.34886659839698586,0.8502149607730863,0.4926854520963698,0.20120819074297513,0.9853709041927396,0.40241638148595027,0,0,0,0,1,0,0
0.6038913232144677,1.256290337875741,0.34886659839698586,0.8502149607730863,0,0,0,0,0,0,0,0,0,1,0
0.40268313247149257,0.7636048857793711,0.14765840765401073,0.3575295086767165,0,0,0.4926854520963698,0.20120819074297513,0,0,0,0,0,0,1
0.005176247398387563,0.029336388610268303,0.052836660016083364,0.26993563438261936,0,0,0.09539902734096671,0.0006727056839581132,1,0,0,0,0,0,0
0,0,0.052836660016083364,0.26993563438261936,0.029336388610268303,0.005176247398387563,0.12473541595123501,0.005848953082345676,0,1,0,0,0,0,0
0.27511188178100693,0.08217304862635166,0,0,0,0,0.3653346617235861,0.05350936570004148,0,0,1,0,0,0,0
0.005176247398387563,0.029336388610268303,0,0,0.052836660016083364,0.26993563438261936,0.09539902734096671,0.0006727056839581132,0,0,0,1,0,0,0
0.005176247398387563,0.029336388610268303,0.05350936570004148,0.3653346617235861,0.09539902734096671,0.0006727056839581132,0.19079805468193342,0.0013454113679162265,0,0,0,0,1,0,0
0.005848953082345676,0.12473541595123501,0.05350936570004148,0.3653346617235861,0,0,0,0,0,0,0,0,0,1,0
0.005176247398387563,0.029336388610268303,0.052836660016083364,0.26993563438261936,0,0,0.09539902734096671,0.0006727056839581132,0,0,0,0,0,0,1
0.044848091914304104,0.5485510752546381,0.27473755277304923,0.36827734002258333,0,0,0.46960327561370724,0.3909237879803881,1,0,0,0,0,0,0
0,0,0.27473755277304923,0.36827734002258333,0.5485510752546381,0.044848091914304104,1.0181543508683453,0.43577187989469224,0,1,0,0,0,0,0
0.41312543193688744,0.8232886280276873,0,0,0,0,0.8378806156362906,0.6656613407534373,0,0,1,0,0,0,0
